Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),% trains late due to external causes,% trains late due to railway infrastructure,% trains late due to traffic management,% trains late due to rolling stock,% trains late due to station management and reuse of material,% trains late due to passenger traffic,Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Period,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account,ClusterIndex
2019,7.0,25,24,0.20171531090310418,287.0,0.23655913978494625,0.3299492385786802,0.02966858917882052,0.5896406643190732,0.4,0.23920868230085127,0.8775149267918341,0.1827956989249999,0.258064516129,0.376344086022,0.10752688172,0.0537634408601999,0.0215053763440999,0.421875,0.4052018457069305,0.3186813186813187,0.2702702702702703,2019-07,18.2795698925,25.8064516129,37.6344086022,10.752688172,5.37634408602,2.15053763441,1
2019,7.0,24,29,0.35299223216518916,205.0,0.0,0.17766497461928935,0.027811956415344338,0.5798188432288318,0.19148936170212766,0.29563856155149115,0.8741021351363819,0.318181818182,0.181818181818,0.181818181818,0.159090909091,0.113636363636,0.0454545454545,0.234375,0.4415846305932277,0.2417582417582418,0.43243243243243246,2019-07,31.818181818200003,18.1818181818,18.1818181818,15.909090909099998,11.3636363636,4.54545454545,3
2019,7.0,54,9,0.3372067204499939,12.0,0.0,0.00676818950930626,0.008394265017068922,0.5713277427478222,0.1532748728539795,0.24436273078193047,0.8499050806814339,0.26708546355062707,0.25504166204486517,0.1919500521002808,0.18109876581922868,0.06768831180649622,0.036435165735895406,0.0,0.39200306351299563,0.0,0.0,2019-07,26.70854635506271,25.50416620448652,19.195005210028082,18.109876581922865,6.768831180649622,3.643516573589541,3
2019,7.0,25,28,0.09818454803980606,318.0,0.23655913978494625,0.37055837563451777,0.02731790114639939,0.5877264875093599,0.36595744680851067,0.2215596660956095,0.8678928862847551,0.152941176471,0.211764705882,0.423529411765,0.129411764706,0.0588235294118,0.0235294117647,0.3125,0.3985094738429287,0.2197802197802198,0.16216216216216217,2019-07,15.2941176471,21.1764705882,42.3529411765,12.9411764706,5.8823529411800015,2.3529411764700003,1
2019,7.0,29,28,0.23702588208924935,261.0,0.025089605734767026,0.17597292724196276,0.025323696251191744,0.5735501206503362,0.2765957446808511,0.24524746897246602,0.8678920555323387,0.261538461538,0.138461538462,0.261538461538,0.184615384615,0.107692307692,0.0461538461538,0.33854166666666663,0.40163474259352533,0.2417582417582418,0.1891891891891892,2019-07,26.1538461538,13.846153846199998,26.1538461538,18.4615384615,10.7692307692,4.615384615380001,3
2019,7.0,3,38,0.2611412487432353,180.0,0.15770609318996415,0.035532994923857864,0.45731770068432964,0.6245550030617963,0.04680851063829787,0.25672462077211533,0.8572275330674942,0.181818181818,0.181818181818,0.363636363636,0.181818181818,0.0909090909091,0.0,0.057291666666666664,0.4107337897759717,0.05494505494505495,0.02702702702702703,2019-07,18.1818181818,18.1818181818,36.3636363636,18.1818181818,9.09090909091,0.0,2
2019,7.0,11,38,0.20702078685869602,254.0,0.4767025089605735,0.15736040609137056,0.015264721759549474,0.5781600437970643,0.06808510638297872,0.24061329428083605,0.8588231408261849,0.266666666667,0.133333333333,0.4,0.0666666666666999,0.0666666666666999,0.0666666666666999,0.06770833333333333,0.40592755679447845,0.07692307692307693,0.02702702702702703,2019-07,26.6666666667,13.3333333333,40.0,6.666666666669999,6.666666666669999,6.666666666669999,1
2019,7.0,38,25,0.11268790731980036,549.0,0.06093189964157706,0.29272419627749574,0.03036654943821576,0.5760198000615486,0.2723404255319149,0.23491505491409956,0.8580083057220996,0.133333333333,0.2,0.1,0.483333333333,0.0833333333333,0.0,0.23958333333333331,0.4179256752363642,0.26373626373626374,0.2702702702702703,2019-07,13.3333333333,20.0,10.0,48.3333333333,8.333333333330001,0.0,2
2019,7.0,25,38,0.11353285811870498,597.0,0.14695340501792115,0.7952622673434856,0.014854363970011776,0.5789167300660583,0.46808510638297873,0.22129882553871705,0.8617517196713779,0.18691588785,0.280373831776,0.205607476636,0.121495327103,0.158878504673,0.0467289719625999,0.38541666666666663,0.4033132013830093,0.3296703296703297,0.21621621621621623,2019-07,18.691588785,28.0373831776,20.5607476636,12.1495327103,15.8878504673,4.67289719626,2
2019,7.0,38,29,0.22193108352940893,552.0,0.0,0.338409475465313,0.01788307893886336,0.5733239068098489,0.25106382978723407,0.2875133413023169,0.8622729375682934,0.322033898305,0.254237288136,0.1694915254239999,0.203389830508,0.0338983050847,0.0169491525424,0.30729166666666663,0.4351429834227804,0.4175824175824176,0.35135135135135137,2019-07,32.2033898305,25.4237288136,16.9491525424,20.3389830508,3.38983050847,1.69491525424,3
